survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-345-a1.5-p16-l8,128,0,0,128,true,true,0
natural-346-a1.5-p16-l8,256,0,0,256,true,true,0
natural-347-a1.5-p16-l8,512,0,0,512,true,true,0
natural-348-a1.5-p16-l8,64,0,0,64,true,true,0
natural-349-a1.5-p16-l8,128,0,0,128,true,true,0
natural-350-a1.5-p16-l8,256,0,0,256,true,true,0
natural-351-a1.5-p16-l8,512,8,8,512,true,true,0
natural-352-a1.5-p16-l8,64,0,0,64,true,true,0
natural-353-a1.5-p16-l8,128,0,0,128,true,true,0
natural-354-a1.5-p16-l8,256,0,0,256,true,true,0
natural-355-a1.5-p16-l8,512,0,8,512,true,true,8
natural-356-a1.5-p16-l8,64,0,0,64,true,true,0
natural-357-a1.5-p16-l8,128,0,0,128,true,true,0
natural-358-a1.5-p16-l8,256,0,0,256,true,true,0
natural-359-a1.5-p16-l8,512,8,8,512,true,true,0
natural-360-a1.5-p16-l8,64,0,0,64,true,true,0
natural-361-a1.5-p16-l8,128,0,0,128,true,true,0
natural-362-a1.5-p16-l8,256,0,0,256,true,true,0
natural-363-a1.5-p16-l8,512,0,0,512,true,true,0
natural-364-a1.5-p16-l8,64,0,0,64,true,true,0
natural-365-a1.5-p16-l8,128,0,0,128,true,true,0
natural-366-a1.5-p16-l8,256,8,8,256,true,true,0
natural-367-a1.5-p16-l8,512,16,8,512,true,true,-8
natural-368-a1.5-p16-l8,64,8,8,64,true,true,0
natural-369-a1.5-p16-l8,128,8,8,128,true,true,0
natural-370-a1.5-p16-l8,256,40,40,256,true,true,0
natural-371-a1.5-p16-l8,512,128,152,512,true,true,24
natural-372-a1.5-p16-l8,64,0,0,64,true,true,0
natural-373-a1.5-p16-l8,128,0,0,128,true,true,0
natural-374-a1.5-p16-l8,256,40,56,256,true,true,16
natural-375-a1.5-p16-l8,512,0,8,512,true,true,8
natural-376-a1.5-p16-l8,64,0,0,64,true,true,0
natural-377-a1.5-p16-l8,128,0,0,128,true,true,0
natural-378-a1.5-p16-l8,256,32,56,256,true,true,24
natural-379-a1.5-p16-l8,512,64,80,512,true,true,16
natural-380-a1.5-p16-l8,64,0,0,64,true,true,0
natural-381-a1.5-p16-l8,128,0,8,128,true,true,8
natural-382-a1.5-p16-l8,256,8,8,256,true,true,0
natural-383-a1.5-p16-l8,512,0,8,512,true,true,8
natural-384-a1.5-p16-l8,64,0,0,64,true,true,0
natural-385-a1.5-p16-l8,128,0,0,128,true,true,0
natural-386-a1.5-p16-l8,256,0,0,256,true,true,0
natural-387-a1.5-p16-l8,512,0,0,512,true,true,0
natural-388-a1.5-p16-l8,64,0,0,64,true,true,0
natural-389-a1.5-p16-l8,128,0,0,128,true,true,0
natural-390-a1.5-p16-l8,256,8,8,256,true,true,0
natural-391-a1.5-p16-l8,512,120,120,512,true,true,0
natural-392-a1.5-p16-l8,64,0,0,64,true,true,0
natural-393-a1.5-p16-l8,128,0,0,128,true,true,0
natural-394-a1.5-p16-l8,256,0,0,256,true,true,0
natural-395-a1.5-p16-l8,512,0,0,512,true,true,0
natural-396-a1.5-p16-l8,64,0,0,64,true,true,0
natural-397-a1.5-p16-l8,128,0,0,128,true,true,0
natural-398-a1.5-p16-l8,256,0,0,256,true,true,0
natural-399-a1.5-p16-l8,512,0,0,512,true,true,0
natural-400-a1.5-p16-l8,64,0,0,64,true,true,0
natural-401-a1.5-p16-l8,128,0,0,128,true,true,0
natural-402-a1.5-p16-l8,256,0,0,256,true,true,0
natural-403-a1.5-p16-l8,512,0,0,512,true,true,0
natural-404-a1.5-p16-l8,64,0,0,64,true,true,0
natural-405-a1.5-p16-l8,128,0,0,128,true,true,0
natural-406-a1.5-p16-l8,256,0,0,256,true,true,0
natural-407-a1.5-p16-l8,512,0,0,512,true,true,0
natural-408-a1.5-p16-l8,64,0,0,64,true,true,0
natural-409-a1.5-p16-l8,128,0,0,128,true,true,0
natural-410-a1.5-p16-l8,256,0,0,256,true,true,0
natural-411-a1.5-p16-l8,512,0,0,512,true,true,0
natural-412-a1.5-p16-l8,64,0,0,64,true,true,0
natural-413-a1.5-p16-l8,128,0,0,128,true,true,0
natural-414-a1.5-p16-l8,256,0,0,256,true,true,0
natural-415-a1.5-p16-l8,512,0,0,512,true,true,0
natural-416-a1.5-p16-l8,64,0,0,64,true,true,0
natural-417-a1.5-p16-l8,128,40,56,128,true,true,16
natural-418-a1.5-p16-l8,256,120,136,256,true,true,16
natural-419-a1.5-p16-l8,512,240,272,512,true,true,32
natural-420-a1.5-p16-l8,64,0,0,64,true,true,0
natural-421-a1.5-p16-l8,128,24,24,128,true,true,0
natural-422-a1.5-p16-l8,256,16,16,256,true,true,0
natural-423-a1.5-p16-l8,512,128,176,512,true,true,48
natural-424-a1.5-p16-l8,64,0,0,64,true,true,0
natural-425-a1.5-p16-l8,128,0,0,128,true,true,0
natural-426-a1.5-p16-l8,256,40,32,256,true,true,-8
natural-427-a1.5-p16-l8,512,72,64,512,true,true,-8
natural-428-a1.5-p16-l8,64,0,0,64,true,true,0
natural-429-a1.5-p16-l8,128,0,0,128,true,true,0
natural-430-a1.5-p16-l8,256,0,0,256,true,true,0
natural-431-a1.5-p16-l8,512,0,0,512,true,true,0
natural-432-a1.5-p16-l8,64,0,0,64,true,true,0
natural-433-a1.5-p16-l8,128,0,0,128,true,true,0
natural-434-a1.5-p16-l8,256,0,0,256,true,true,0
natural-435-a1.5-p16-l8,512,0,0,512,true,true,0
natural-436-a1.5-p16-l8,64,0,0,64,true,true,0
natural-437-a1.5-p16-l8,128,24,32,128,true,true,8
natural-438-a1.5-p16-l8,256,32,32,256,true,true,0
natural-439-a1.5-p16-l8,512,56,64,512,true,true,8
natural-440-a1.5-p16-l8,64,0,0,64,true,true,0
natural-441-a1.5-p16-l8,128,0,0,128,true,true,0
natural-442-a1.5-p16-l8,256,0,0,256,true,true,0
natural-443-a1.5-p16-l8,512,0,0,512,true,true,0
natural-444-a1.5-p16-l8,64,0,0,64,true,true,0
natural-445-a1.5-p16-l8,128,0,0,128,true,true,0
natural-446-a1.5-p16-l8,256,0,0,256,true,true,0
natural-447-a1.5-p16-l8,512,56,56,512,true,true,0
natural-448-a1.5-p16-l8,64,0,0,64,true,true,0
natural-449-a1.5-p16-l8,128,0,0,128,true,true,0
natural-450-a1.5-p16-l8,256,0,0,256,true,true,0
natural-451-a1.5-p16-l8,512,0,0,512,true,true,0
